Файл|Текст|Жанр|Эмоция
мне противно даже смотреть_001.wav| мне противно даже смотреть|emotions|disgusted
от одной мысли тошнит_002.wav| от одной мысли тошнит|emotions|disgusted
будущее выглядит потрясающе_001.wav|будущее выглядит потрясающе|emotions|excited
в этом есть какая-то тайна_001.wav|в этом есть какая-то тайна|emotions|mysterious
внутри тихо и светло_001.wav|внутри тихо и светло|emotions|calm
вперёд к новым свершениям_001.wav|вперёд к новым свершениям|emotions|energetic
время действовать_002.wav|время действовать|emotions|energetic
всё в пределах нормы_001.wav|всё в пределах нормы|emotions|neutral
всё идёт своим чередом_002.wav|всё идёт своим чередом|emotions|calm
грусть давит на сердце_001.wav|грусть давит на сердце|emotions|sad
душа спокойна как озеро_003.wav|душа спокойна как озеро|emotions|calm
жизнь прекрасна_001.wav|жизнь прекрасна|emotions|happy
заряжайся энергией_003.wav|заряжайся энергией|emotions|energetic
здесь кроется разгадка_002.wav|здесь кроется разгадка|emotions|mysterious
когда уже это закончится_001.wav|когда уже это закончится|emotions|bored
люблю тебя больше жизни_001.wav|люблю тебя больше жизни|emotions|romantic
меня охватила паника_001.wav|меня охватила паника|emotions|fearful
мир улыбается мне_002.wav|мир улыбается мне|emotions|happy
мне так одиноко_002.wav|мне так одиноко|emotions|sad
не могу дождаться_002.wav|не могу дождаться|emotions|excited
не может быть_001.wav|не может быть|emotions|surprised
ничего себе вот это поворот_002.wav|ничего себе вот это поворот|emotions|surprised
ну кто бы сомневался_001.wav|ну кто бы сомневался|emotions|sarcastic
о да ты гений конечно_002.wav|о да ты гений конечно|emotions|sarcastic
о да ты просто непревзойдён_003.wav|о да ты просто непревзойдён|emotions|sarcastic
опять одно и то же_002.wav|опять одно и то же|emotions|bored
опять этот бесконечный день_003.wav|опять этот бесконечный день|emotions|bored
почему всё так печально_003.wav|почему всё так печально|emotions|sad
сегодня обычный день_002.wav|сегодня обычный день|emotions|neutral
сердце ноет от тоски_004.wav|сердце ноет от тоски|emotions|sad
солнце светит так ярко_003.wav|солнце светит так ярко|emotions|happy
ты меня бесишь_001.wav|ты меня бесишь|emotions|angry
ты моё счастье_002.wav|ты моё счастье|emotions|romantic
ты моя вселенная_003.wav|ты моя вселенная|emotions|romantic
у меня мурашки от страха_002.wav|у меня мурашки от страха|emotions|fearful
факты говорят сами за себя_003.wav|факты говорят сами за себя|emotions|neutral
фу как противно_003.wav|фу как противно|emotions|disgusted
хватит меня раздражать_002.wav|хватит меня раздражать|emotions|angry
что-то здесь не так_003.wav|что-то здесь не так|emotions|mysterious
Эмоции_001.wav|Эмоции|prose|neutral
это неожиданно_003.wav|это неожиданно|emotions|surprised
я абсолютно уверен в этом_001.wav|я абсолютно уверен в этом|emotions|confident
я безумно счастлив_004.wav|я безумно счастлив|emotions|happy
я боюсь что всё пойдёт не так_003.wav|я боюсь что всё пойдёт не так|emotions|fearful
я в предвкушении_003.wav|я в предвкушении|emotions|excited
я в ярости_003.wav|я в ярости|emotions|angry
я знаю что делаю_002.wav|я знаю что делаю|emotions|confident
я не готов ответить_001.wav|я не готов ответить|emotions|shy
я не решаюсь сказать_002.wav|я не решаюсь сказать|emotions|shy
я справлюсь без проблем_003.wav|я справлюсь без проблем|emotions|confident
я стесняюсь говорить об этом_003.wav|я стесняюсь говорить об этом|emotions|shy
 ии написал стихи серьёзно_001.wav| ии написал стихи серьёзно|technology|surprised
а вдруг ии станет умнее нас_001.wav|а вдруг ии станет умнее нас|technology|fearful
а если роботы восстанут_002.wav|а если роботы восстанут|technology|fearful
боюсь что мои данные утекут_003.wav|боюсь что мои данные утекут|technology|fearful
в этом коде есть что-то странное_001.wav|в этом коде есть что-то странное|technology|mysterious
вперёд к цифровой революции_001.wav|вперёд к цифровой революции|technology|energetic
всё идёт по плану_001.wav|всё идёт по плану|technology|calm
всё под контролем ошибок нет_002.wav|всё под контролем ошибок нет|technology|calm
всё работает как часы_003.wav|всё работает как часы|technology|calm
вэар это будущее_001.wav|вэар это будущее|technology|excited
голосовой помощник сам включился_001.wav|голосовой помощник сам включился|technology|surpri
даёшь цифровизацию_002.wav|даёшь цифровизацию|technology|energetic
ещё один митап про эйай_001.wav|ещё один митап про эйай|technology|bored
жаль что мой жёсткий диск умер_001.wav|жаль что мой жёсткий диск умер|technology|sad
заряжаемся и кодим_003.wav|заряжаемся и кодим|technology|energetic
интерфейс интуитивно понятен_001.wav|интерфейс интуитивно понятен|technology|neutral
искусственный интеллект это круто_001.wav|искусственный интеллект это круто|technology|happy
клавиатура в крошках кошмар_001.wav|клавиатура в крошках кошмар|technology|disgusted
конечно этот баг фича_001.wav|конечно этот баг фича|technology|sarcastic
кто написал этот ужасный код_001.wav|кто написал этот ужасный код|technology|angry
кто-то ел за моим ноутбуком_003.wav|кто-то ел за моим ноутбуком|technology|disgusted
мой код с первого раза прошёл тесты_001.wav|мой код с первого раза прошёл тесты|technology|confident
мой ноутбук снова сломался_002.wav|мой ноутбук снова сломался|technology|sad
мой телефон разрядился в самый нужный момент_003.wav|мой телефон разрядился в самый нужный момент|technology|sad
неужели нейросеть нарисовала это_002.wav|неужели нейросеть нарисовала это|technology|surprised
новый айфон это мечта_002.wav|новый айфон это мечта|technology|excited
новый апдейт просто огонь_003.wav|новый апдейт просто огонь|technology|excited
о да виндоус никогда не подводит_002.wav|о да виндоус никогда не подводит|technology|sarcastic
о да этот софт точно не глючит_003.wav|о да этот софт точно не глючит|technology|sarcastic
опять эти бесконечные обновления_002.wav|опять эти бесконечные обновления|technology|bored
очередная скучная лекция про блокчейн_003.wav|очередная скучная лекция про блокчейн|technology|bored
почему вай фай опять лагает_002.wav|почему вай фай опять лагает|technology|angry
почему облако такое медленное_004.wav|почему облако такое медленное|technology|sad
почему этот принтер никогда не работает_003.wav|почему этот принтер никогда не работает|technology|angry
серверы в норме_002.wav|серверы в норме|technology|neutral
система работает стабильно_003.wav|система работает стабильно|technology|neutral
техника это мощь_002.wav|техника это мощь|technology|happy
технологии делают жизнь лучше_003.wav|технологии делают жизнь лучше|technology|happy
технологии_002.wav|технологии|prose|neutral
ты и технологии моя страсть_001.wav|ты и технологии моя страсть|technology|romantic
ты как идеальная программа_002.wav|ты как идеальная программа|technology|romantic
ты как идеальный алгоритм_003.wav|ты как идеальный алгоритм|technology|romantic
что скрывает этот исходный код_002.wav|что скрывает этот исходный код|technology|mysterious
что-то тут зашифровано_003.wav|что-то тут зашифровано|technology|mysterious
этот гаджет изменит мир_004.wav|этот гаджет изменит мир|technology|happy
я знаю как починить этот баг_002.wav|я знаю как починить этот баг|technology|confident
я не очень разбираюсь в крипте_001.wav|я не очень разбираюсь в крипте|technology|shy
я не очень хорошо знаю питон_002.wav|я не очень хорошо знаю питон|technology|shy
я не уверен что правильно подключил кабель_003.wav|я не уверен что правильно подключил кабель|technology|shy
я разберусь с этой проблемой_003.wav|я разберусь с этой проблемой|technology|confident
